date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:30:48	1699587/1699587	---M--	200	added ('OK')	image/jpeg	etag:%2206b35d5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-StandardR/img/img-sprite.jpg	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-StandardR/img/img-sprite.jpg	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-StandardR/index.html)
13:30:49	5853/5853	---M-Z	200	added ('OK')	text/css	etag:%22d951f1c5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-PowerR/css/style.css	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-PowerR/css/style.css	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-PowerR/index.html)
13:30:50	15253/15253	---M-Z	200	added ('OK')	application/javascript	etag:%225d9afcc5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-PowerR/js/modernizr.js	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-PowerR/js/modernizr.js	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-PowerR/index.html)
13:30:50	1102300/1102300	---M--	200	added ('OK')	image/png	etag:%225ec52fd5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-StandardR/img/img-loading.png	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-StandardR/img/img-loading.png	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-StandardR/index.html)
13:30:52	84349/84349	---M-Z	200	added ('OK')	application/javascript	etag:%22d9fdfbc5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-PowerR/js/jquery-2.1.4.js	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-PowerR/js/jquery-2.1.4.js	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-PowerR/index.html)
13:30:53	7786/7786	---M-Z	200	added ('OK')	application/javascript	etag:%229d25fcc5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-PowerR/js/jquery.mobile.custom.min.js	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-PowerR/js/jquery.mobile.custom.min.js	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-PowerR/index.html)
13:30:53	1051115/1051115	---M--	200	added ('OK')	image/png	etag:%224830f5c5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-PowerR/img/img-loading.png	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-PowerR/img/img-loading.png	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-PowerR/index.html)
13:30:54	1546695/1546695	---M--	200	added ('OK')	image/jpeg	etag:%22b978fac5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-PowerR/img/img-sprite.jpg	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-PowerR/img/img-sprite.jpg	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-PowerR/index.html)
13:30:54	7156/7156	---M-Z	200	added ('OK')	application/javascript	etag:%22af4cfcc5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-PowerR/js/main.js	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-PowerR/js/main.js	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-PowerR/index.html)
13:30:54	640/640	---M--	200	added ('OK')	image/svg+xml	etag:%22dd5511d5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-RicR/img/cd-arrows.svg	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-RicR/img/cd-arrows.svg	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-RicR/css/style.css)
13:30:55	640/640	---M--	200	added ('OK')	image/svg+xml	etag:%226b4d3fc5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-CIC-H/img/cd-arrows.svg	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-CIC-H/img/cd-arrows.svg	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-CIC-H/css/style.css)
13:30:56	1145/1145	---M-Z	200	added ('OK')	text/css	etag:%22c3c84ac5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-CIC-R/css/reset.css	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-CIC-R/css/reset.css	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-CIC-R/index.html)
13:30:57	5853/5853	---M-Z	200	added ('OK')	text/css	etag:%22b9eb4ac5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-CIC-R/css/style.css	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-CIC-R/css/style.css	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-CIC-R/index.html)
13:30:58	15253/15253	---M-Z	200	added ('OK')	application/javascript	etag:%22635652c5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-CIC-R/js/modernizr.js	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-CIC-R/js/modernizr.js	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-CIC-R/index.html)
13:30:59	959242/959242	---M--	200	added ('OK')	image/png	etag:%22aca4dc5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-CIC-R/img/img-loading.png	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-CIC-R/img/img-loading.png	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-CIC-R/index.html)
13:31:00	84349/84349	---M-Z	200	added ('OK')	application/javascript	etag:%22c79251c5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-CIC-R/js/jquery-2.1.4.js	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-CIC-R/js/jquery-2.1.4.js	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-CIC-R/index.html)
13:31:01	7786/7786	---M-Z	200	added ('OK')	application/javascript	etag:%2243e051c5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-CIC-R/js/jquery.mobile.custom.min.js	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-CIC-R/js/jquery.mobile.custom.min.js	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-CIC-R/index.html)
13:31:01	7156/7156	---M-Z	200	added ('OK')	application/javascript	etag:%22ac752c5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-CIC-R/js/main.js	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-CIC-R/js/main.js	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-CIC-R/index.html)
13:31:02	1453613/1453613	---M--	200	added ('OK')	image/jpeg	etag:%2269af50c5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-CIC-R/img/img-sprite.jpg	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-CIC-R/img/img-sprite.jpg	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-CIC-R/index.html)
13:31:02	640/640	---M--	200	added ('OK')	image/svg+xml	etag:%225d4671c5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-ITC-H/img/cd-arrows.svg	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-ITC-H/img/cd-arrows.svg	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-ITC-H/css/style.css)
